,precision,recall,f1-score,support
dog,0.5,0.75,0.6,8.0
rooster,0.8,1.0,0.89,8.0
pig,0.44,0.5,0.47,8.0
cow,0.8,1.0,0.89,8.0
frog,0.75,0.38,0.5,8.0
cat,0.33,0.25,0.29,8.0
hen,0.75,0.38,0.5,8.0
insects,0.75,0.38,0.5,8.0
sheep,0.86,0.75,0.8,8.0
crow,0.8,0.5,0.62,8.0
rain,0.86,0.75,0.8,8.0
sea_waves,0.39,0.88,0.54,8.0
crackling_fire,0.86,0.75,0.8,8.0
crickets,0.45,0.62,0.53,8.0
chirping_birds,0.86,0.75,0.8,8.0
water_drops,0.5,0.38,0.43,8.0
wind,0.86,0.75,0.8,8.0
pouring_water,0.67,0.75,0.71,8.0
toilet_flush,0.75,0.75,0.75,8.0
thunderstorm,0.73,1.0,0.84,8.0
crying_baby,0.5,1.0,0.67,8.0
sneezing,0.62,0.62,0.62,8.0
clapping,0.4,0.25,0.31,8.0
breathing,0.57,0.5,0.53,8.0
coughing,1.0,0.5,0.67,8.0
footsteps,0.36,0.5,0.42,8.0
laughing,0.22,0.25,0.24,8.0
brushing_teeth,0.86,0.75,0.8,8.0
snoring,0.8,1.0,0.89,8.0
drinking_sipping,0.43,0.38,0.4,8.0
door_wood_knock,0.62,0.62,0.62,8.0
mouse_click,0.4,0.25,0.31,8.0
keyboard_typing,0.5,0.5,0.5,8.0
door_wood_creaks,1.0,0.12,0.22,8.0
can_opening,0.54,0.88,0.67,8.0
washing_machine,1.0,1.0,1.0,8.0
vacuum_cleaner,0.88,0.88,0.88,8.0
clock_alarm,1.0,0.75,0.86,8.0
clock_tick,0.38,0.38,0.38,8.0
glass_breaking,0.67,0.75,0.71,8.0
helicopter,0.5,0.25,0.33,8.0
chainsaw,0.75,0.75,0.75,8.0
siren,0.73,1.0,0.84,8.0
car_horn,1.0,0.75,0.86,8.0
engine,0.88,0.88,0.88,8.0
train,0.6,0.75,0.67,8.0
church_bells,0.86,0.75,0.8,8.0
airplane,0.67,0.5,0.57,8.0
fireworks,0.8,1.0,0.89,8.0
hand_saw,0.7,0.88,0.78,8.0
accuracy,0.65,0.65,0.65,0.65
macro avg,0.68,0.65,0.64,400.0
weighted avg,0.68,0.65,0.64,400.0
